day:8, area_number:3, roomID:70, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:73, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:75, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:80, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:84, stock:1, suf_rate:0.1
day:8, area_number:3, roomID:85, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:87, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:92, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:94, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:95, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:96, stock:1, suf_rate:0.1
day:8, area_number:3, roomID:98, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:80, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:81, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:82, stock:2, suf_rate:0.2
day:9, area_number:4, roomID:83, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:84, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:85, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:86, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:87, stock:2, suf_rate:0.2
day:9, area_number:4, roomID:88, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:89, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:90, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:91, stock:2, suf_rate:0.2
day:9, area_number:4, roomID:92, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:93, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:94, stock:3, suf_rate:0.3
day:9, area_number:4, roomID:95, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:96, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:97, stock:2, suf_rate:0.2
day:9, area_number:4, roomID:98, stock:6, suf_rate:0.6
day:9, area_number:4, roomID:99, stock:2, suf_rate:0.2
day:9, area_number:4, roomID:21, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:23, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:24, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:43, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:53, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:58, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:60, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:62, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:64, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:66, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:71, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:78, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:82, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:83, stock:1, suf_rate:0.1
day:9, area_number:4, roomID:86, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:90, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:91, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:93, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:97, stock:0, suf_rate:0.0
day:9, area_number:4, roomID:99, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:0, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:1, stock:4, suf_rate:0.4
day:10, area_number:0, roomID:2, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:3, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:4, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:5, stock:1, suf_rate:0.1
day:10, area_number:0, roomID:6, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:7, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:8, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:9, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:10, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:11, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:12, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:13, stock:2, suf_rate:0.2
day:10, area_number:0, roomID:14, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:15, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:16, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:17, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:18, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:19, stock:2, suf_rate:0.2
day:10, area_number:0, roomID:3, stock:3, suf_rate:0.3
day:10, area_number:0, roomID:5, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:7, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:11, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:13, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:15, stock:1, suf_rate:0.1
day:10, area_number:0, roomID:17, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:19, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:22, stock:1, suf_rate:0.1
day:10, area_number:0, roomID:25, stock:2, suf_rate:0.2
day:10, area_number:0, roomID:26, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:30, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:32, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:42, stock:3, suf_rate:0.3
day:10, area_number:0, roomID:44, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:76, stock:1, suf_rate:0.1
day:10, area_number:0, roomID:77, stock:0, suf_rate:0.0
day:10, area_number:0, roomID:81, stock:1, suf_rate:0.1
day:10, area_number:0, roomID:88, stock:2, suf_rate:0.2
day:10, area_number:0, roomID:89, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:20, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:21, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:22, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:23, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:24, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:25, stock:3, suf_rate:0.3
day:11, area_number:1, roomID:26, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:27, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:28, stock:3, suf_rate:0.3
day:11, area_number:1, roomID:29, stock:0, suf_rate:0.0
day:11, area_number:1, roomID:30, stock:2, suf_rate:0.2
